case_id,case_hash,thread_designation,evidence_classes,accepted_run_ids,target_preload_n,head_member_thickness_mm,nut_member_thickness_mm,member_outer_diameter_mm,member_clearance_hole_diameter_mm,bolt_material_id,nut_material_id,head_member_material_id,nut_member_material_id,thread_friction_coefficient,head_bearing_friction_coefficient,nut_bearing_friction_coefficient,member_interface_friction_coefficient,external_axial_load_n,u_preload,u_head_thickness,u_radial_geometry,configuration_status,rom_admission_status,dataset_partition,primary_evidence_path,primary_run_directory,evidence_record_count
D-BND-001,a5e86e9150fbed8b3b17cd9617c9b78d919124baaa373310fa997f7c9bc72799,M10x1.5,CALIBRATION_ACCEPTED,trm_fem_a5e86e9150fb_cal_02,15000.0,8.0,12.0,30.0,11.0,fastener_steel,fastener_steel,steel_member,steel_member,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,C01_POLICY_AND_CASE_COORDINATES_VERIFIED,NOT_EVALUATED,,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_a5e86e9150fb/production_doe_accepted_fem_evidence.json,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_a5e86e9150fb/trm_fem_a5e86e9150fb_cal_02,1
D-BND-002,4ec5fd41259571b82418ef03a7b5891278ff02618939118aa88037b7cb02e630,M10x1.5,CALIBRATION_ACCEPTED,trm_fem_4ec5fd412595_cal_02,15000.0,8.0,12.0,36.0,12.0,fastener_steel,fastener_steel,steel_member,steel_member,0.15,0.15,0.15,0.15,0.0,0.0,0.0,1.0,C01_POLICY_AND_CASE_COORDINATES_VERIFIED,NOT_EVALUATED,,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_4ec5fd412595/production_doe_accepted_fem_evidence.json,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_4ec5fd412595/trm_fem_4ec5fd412595_cal_02,1
D-BND-003,132f5f2b979503889a4f5a463a705b1f19699adcf55b5ec6cf0df9db48628b3b,M10x1.5,CALIBRATION_ACCEPTED,trm_fem_132f5f2b9795_cal_02,15000.0,10.0,10.0,36.0,12.0,fastener_steel,fastener_steel,steel_member,steel_member,0.15,0.15,0.15,0.15,0.0,0.0,1.0,1.0,C01_POLICY_AND_CASE_COORDINATES_VERIFIED,NOT_EVALUATED,,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_132f5f2b9795/production_doe_accepted_fem_evidence.json,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_132f5f2b9795/trm_fem_132f5f2b9795_cal_02,1
D-BND-004,9d11902c8c53632a573986b9a62c63be9299500a32b43698f353fd55a05f5fdc,M10x1.5,CALIBRATION_ACCEPTED,trm_fem_9d11902c8c53_cal_02,20000.0,8.0,12.0,36.0,12.0,fastener_steel,fastener_steel,steel_member,steel_member,0.15,0.15,0.15,0.15,0.0,1.0,0.0,1.0,C01_POLICY_AND_CASE_COORDINATES_VERIFIED,NOT_EVALUATED,,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_9d11902c8c53/production_doe_accepted_fem_evidence.json,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_9d11902c8c53/trm_fem_9d11902c8c53_cal_02,1
D-INT-001,762a30bed2663dec4a47fea35978689529bea79adc21315e92d56092114269a0,M10x1.5,CALIBRATION_ACCEPTED,trm_fem_762a30bed266_cal_01_wsv21_rv2,19479.11914492541,9.535522261558732,10.464477738441268,35.722433197962495,11.953738866327082,fastener_steel,fastener_steel,steel_member,steel_member,0.15,0.15,0.15,0.15,0.0,0.8958238289850826,0.7677611307793665,0.9537388663270822,C01_POLICY_AND_CASE_COORDINATES_VERIFIED,NOT_EVALUATED,,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_762a30bed266/production_doe_accepted_fem_evidence.json,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_762a30bed266/trm_fem_762a30bed266_cal_01_wsv21_rv2,1
D-INT-002,cd79bd4336c0c7d17a914190cd07eec85c9090daa6770cbb62afd480a076aaaa,M10x1.5,CALIBRATION_ACCEPTED,trm_fem_cd79bd4336c0_cal_02,15299.75706418507,9.336290916252501,10.663709083747499,30.84710928892386,11.14118488148731,fastener_steel,fastener_steel,steel_member,steel_member,0.15,0.15,0.15,0.15,0.0,0.05995141283701415,0.6681454581262507,0.14118488148730987,C01_POLICY_AND_CASE_COORDINATES_VERIFIED,NOT_EVALUATED,,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_cd79bd4336c0/production_doe_accepted_fem_evidence.json,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_cd79bd4336c0/trm_fem_cd79bd4336c0_cal_02,1
D-INT-003,226154f7ef4edd150b25250986538fab4ac24e7ed274c4a50923c95c19839642,M10x1.5,CALIBRATION_ACCEPTED,trm_fem_226154f7ef4e_cal_01_wsv21_rv2,17734.19812887757,8.20792609577422,11.79207390422578,33.08966226545118,11.51494371090853,fastener_steel,fastener_steel,steel_member,steel_member,0.15,0.15,0.15,0.15,0.0,0.5468396257755145,0.10396304788710961,0.5149437109085306,C01_POLICY_AND_CASE_COORDINATES_VERIFIED,NOT_EVALUATED,,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_226154f7ef4e/production_doe_accepted_fem_evidence.json,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_226154f7ef4e/trm_fem_226154f7ef4e_cal_01_wsv21_rv2,1
D-INT-004,d0bfb12d44c25f6b7a1adf2a9c4f14615a125fe6e95c90fdeda06b59eab86faa,M10x1.5,CALIBRATION_ACCEPTED,trm_fem_d0bfb12d44c2_cal_02,16482.080219476527,9.990951568276326,10.009048431723674,30.546487084220356,11.091081180703393,fastener_steel,fastener_steel,steel_member,steel_member,0.15,0.15,0.15,0.15,0.0,0.2964160438953053,0.9954757841381628,0.09108118070339287,C01_POLICY_AND_CASE_COORDINATES_VERIFIED,NOT_EVALUATED,,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_d0bfb12d44c2/production_doe_accepted_fem_evidence.json,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_d0bfb12d44c2/trm_fem_d0bfb12d44c2_cal_02,1
D-INT-005,4e77db0d0c1211f6f1d7eb9ef6bb604c2aa1bce41f4ad8e448480ae047617994,M10x1.5,CALIBRATION_ACCEPTED,trm_fem_4e77db0d0c12_cal_01_wsv21_rv2,16216.563610065585,9.784176625560347,10.215823374439653,34.96692434458901,11.827820724098169,fastener_steel,fastener_steel,steel_member,steel_member,0.15,0.15,0.15,0.15,0.0,0.243312722013117,0.8920883127801735,0.8278207240981684,C01_POLICY_AND_CASE_COORDINATES_VERIFIED,NOT_EVALUATED,,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_4e77db0d0c12/production_doe_accepted_fem_evidence.json,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_4e77db0d0c12/trm_fem_4e77db0d0c12_cal_01_wsv21_rv2,1
D-INT-006,6c0eb1807bb0e3c3f59ef39314d6b6b68fca739f345eee9b686fa5b182d7d966,M10x1.5,CALIBRATION_ACCEPTED,trm_fem_6c0eb1807bb0_cal_02,15533.416638981967,9.468590125676517,10.531409874323483,32.739045053089626,11.45650750884827,fastener_steel,fastener_steel,steel_member,steel_member,0.15,0.15,0.15,0.15,0.0,0.10668332779639358,0.7342950628382584,0.45650750884827107,C01_POLICY_AND_CASE_COORDINATES_VERIFIED,NOT_EVALUATED,,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_6c0eb1807bb0/production_doe_accepted_fem_evidence.json,simulations/staging/phase3_cp8_production_doe/TRM-PDOE-C01/solver_preparation/trm_fem_6c0eb1807bb0/trm_fem_6c0eb1807bb0_cal_02,1
